no2,pm2.5,o3,pm10,datetime
3.0,18.0,64.58951965065502,32.0,2023-02-25-05:00:00
6.0,16.0,72.0,27.0,2023-02-25-06:00:00
7.0,20.0,67.0,30.0,2023-02-25-07:00:00
6.0,21.0,65.0,33.0,2023-02-25-08:00:00
7.0,24.0,64.0,35.0,2023-02-25-09:00:00
6.0,19.0,67.0,31.0,2023-02-25-10:00:00
5.0,18.0,76.0,28.0,2023-02-25-11:00:00
15.299382716049383,16.0,83.0,28.0,2023-02-25-12:00:00
4.0,15.0,86.0,28.0,2023-02-25-13:00:00
3.0,16.0,90.0,29.0,2023-02-25-14:00:00
4.0,19.0,85.0,35.0,2023-02-25-15:00:00
5.0,18.0,84.0,33.0,2023-02-25-16:00:00
6.0,19.0,80.0,33.0,2023-02-25-17:00:00
6.0,20.0,77.0,34.0,2023-02-25-18:00:00
8.0,17.0,74.0,25.0,2023-02-25-19:00:00
22.0,19.0,55.0,28.0,2023-02-25-20:00:00
5.0,17.0,75.0,24.0,2023-02-25-21:00:00
22.0,17.0,47.0,25.0,2023-02-25-22:00:00
7.0,7.0,63.0,10.0,2023-02-25-23:00:00
4.0,20.914364640883978,75.0,2.0,2023-02-26-00:00:00
3.0,20.914364640883978,79.0,24.383091149273447,2023-02-26-01:00:00
2.0,20.914364640883978,80.0,24.383091149273447,2023-02-26-02:00:00
1.0,20.914364640883978,79.0,24.383091149273447,2023-02-26-03:00:00
2.0,20.914364640883978,79.0,24.383091149273447,2023-02-26-04:00:00
2.0,20.914364640883978,64.58951965065502,24.383091149273447,2023-02-26-05:00:00
3.0,20.914364640883978,75.0,24.383091149273447,2023-02-26-06:00:00
3.0,20.914364640883978,74.0,24.383091149273447,2023-02-26-07:00:00
7.0,20.914364640883978,70.0,24.383091149273447,2023-02-26-08:00:00
5.0,20.914364640883978,70.0,2.0,2023-02-26-09:00:00
5.0,20.914364640883978,72.0,3.0,2023-02-26-10:00:00
4.0,20.914364640883978,76.0,4.0,2023-02-26-11:00:00
15.299382716049383,2.0,73.0,5.0,2023-02-26-12:00:00
5.0,3.0,74.0,5.0,2023-02-26-13:00:00
4.0,3.0,75.0,5.0,2023-02-26-14:00:00
6.0,3.0,69.0,5.0,2023-02-26-15:00:00
6.0,3.0,69.0,5.0,2023-02-26-16:00:00
5.0,3.0,69.0,5.0,2023-02-26-17:00:00
4.0,3.0,72.0,4.0,2023-02-26-18:00:00
4.0,2.0,75.0,4.0,2023-02-26-19:00:00
4.0,2.0,77.0,4.0,2023-02-26-20:00:00
4.0,20.914364640883978,75.0,3.0,2023-02-26-21:00:00
3.0,20.914364640883978,74.0,3.0,2023-02-26-22:00:00
3.0,2.0,76.0,3.0,2023-02-26-23:00:00
3.0,2.0,77.0,4.0,2023-02-27-00:00:00
3.0,3.0,77.0,4.0,2023-02-27-01:00:00
3.0,3.0,75.0,5.0,2023-02-27-02:00:00
3.0,3.0,75.0,4.0,2023-02-27-03:00:00
3.0,3.0,75.0,4.0,2023-02-27-04:00:00
6.0,4.0,72.0,4.0,2023-02-27-05:00:00
10.0,4.0,64.58951965065502,6.0,2023-02-27-06:00:00
12.0,5.0,65.0,7.0,2023-02-27-07:00:00
10.0,5.0,67.0,8.0,2023-02-27-08:00:00
10.0,6.0,68.0,9.0,2023-02-27-09:00:00
8.0,6.0,70.0,9.0,2023-02-27-10:00:00
9.0,6.0,70.0,10.0,2023-02-27-11:00:00
11.0,7.0,69.0,10.0,2023-02-27-12:00:00
15.299382716049383,7.0,66.0,12.0,2023-02-27-13:00:00
15.0,7.0,64.0,12.0,2023-02-27-14:00:00
16.0,8.0,63.0,11.0,2023-02-27-15:00:00
17.0,7.0,62.0,11.0,2023-02-27-16:00:00
16.0,9.0,62.0,12.0,2023-02-27-17:00:00
16.0,12.0,59.0,14.0,2023-02-27-18:00:00
15.0,9.0,60.0,10.0,2023-02-27-19:00:00
14.0,10.0,60.0,12.0,2023-02-27-20:00:00
10.0,11.0,64.0,12.0,2023-02-27-21:00:00
7.0,12.0,65.0,13.0,2023-02-27-22:00:00
5.0,12.0,66.0,13.0,2023-02-27-23:00:00
4.0,12.0,66.0,14.0,2023-02-28-00:00:00
4.0,12.0,66.0,13.0,2023-02-28-01:00:00
4.0,12.0,66.0,13.0,2023-02-28-02:00:00
4.0,11.0,65.0,12.0,2023-02-28-03:00:00
5.0,9.0,64.0,10.0,2023-02-28-04:00:00
7.0,7.0,61.0,8.0,2023-02-28-05:00:00
8.0,7.0,64.58951965065502,8.0,2023-02-28-06:00:00
16.0,7.0,50.0,12.0,2023-02-28-07:00:00
14.0,7.0,52.0,15.0,2023-02-28-08:00:00
14.0,6.0,55.0,13.0,2023-02-28-09:00:00
10.0,4.0,59.0,11.0,2023-02-28-10:00:00
11.0,4.0,61.0,9.0,2023-02-28-11:00:00
11.0,5.0,60.0,10.0,2023-02-28-12:00:00
15.299382716049383,7.0,59.0,10.0,2023-02-28-13:00:00
13.0,9.0,59.0,12.0,2023-02-28-14:00:00
16.0,10.0,59.0,15.0,2023-02-28-15:00:00
21.0,12.0,57.0,17.0,2023-02-28-16:00:00
21.0,15.0,56.0,22.0,2023-02-28-17:00:00
17.0,19.0,60.0,26.0,2023-02-28-18:00:00
12.0,19.0,64.0,25.0,2023-02-28-19:00:00
9.0,20.0,67.0,25.0,2023-02-28-20:00:00
9.0,17.0,68.0,21.0,2023-02-28-21:00:00
8.0,15.0,67.0,17.0,2023-02-28-22:00:00
5.0,17.0,70.0,22.0,2023-02-28-23:00:00
4.0,19.0,70.0,22.0,2023-03-01-00:00:00
4.0,20.0,70.0,24.0,2023-03-01-01:00:00
4.0,20.0,72.0,25.0,2023-03-01-02:00:00
4.0,19.0,71.0,26.0,2023-03-01-03:00:00
5.0,18.0,70.0,24.0,2023-03-01-04:00:00
6.0,16.0,66.0,20.0,2023-03-01-05:00:00
11.0,17.0,61.0,23.0,2023-03-01-06:00:00
15.0,17.0,64.58951965065502,25.0,2023-03-01-07:00:00
13.0,17.0,54.0,29.0,2023-03-01-08:00:00
12.0,16.0,52.0,28.0,2023-03-01-09:00:00
10.0,13.0,50.0,26.0,2023-03-01-10:00:00
11.0,10.0,48.0,21.0,2023-03-01-11:00:00
11.0,7.0,45.0,13.0,2023-03-01-12:00:00
10.0,5.0,43.0,11.0,2023-03-01-13:00:00
15.299382716049383,4.0,45.0,10.0,2023-03-01-14:00:00
13.0,3.0,44.0,7.0,2023-03-01-15:00:00
15.0,2.0,42.0,5.0,2023-03-01-16:00:00
18.0,20.914364640883978,35.0,4.0,2023-03-01-17:00:00
17.0,3.0,34.0,4.0,2023-03-01-18:00:00
12.0,20.914364640883978,39.0,2.0,2023-03-01-19:00:00
9.0,9.0,47.0,10.0,2023-03-01-20:00:00
8.0,20.914364640883978,48.0,24.383091149273447,2023-03-01-21:00:00
7.0,20.914364640883978,49.0,24.383091149273447,2023-03-01-22:00:00
6.0,20.914364640883978,50.0,24.383091149273447,2023-03-01-23:00:00
5.0,20.914364640883978,49.0,24.383091149273447,2023-03-02-00:00:00
5.0,20.914364640883978,48.0,24.383091149273447,2023-03-02-01:00:00
5.0,20.914364640883978,47.0,2.0,2023-03-02-02:00:00
4.0,20.914364640883978,48.0,2.0,2023-03-02-03:00:00
4.0,20.914364640883978,50.0,2.0,2023-03-02-04:00:00
7.0,3.0,49.0,3.0,2023-03-02-05:00:00
14.0,3.0,44.0,4.0,2023-03-02-06:00:00
18.0,2.0,64.58951965065502,4.0,2023-03-02-07:00:00
23.0,3.0,38.0,8.0,2023-03-02-08:00:00
14.0,2.0,49.0,5.0,2023-03-02-09:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-03-02-11:00:00
15.299382716049383,20.914364640883978,64.58951965065502,24.383091149273447,2023-03-02-12:00:00
16.0,4.0,62.0,11.0,2023-03-02-13:00:00
15.299382716049383,5.0,56.0,10.0,2023-03-02-14:00:00
22.0,5.0,55.0,12.0,2023-03-02-15:00:00
23.0,5.0,54.0,10.0,2023-03-02-16:00:00
26.0,7.0,49.0,11.0,2023-03-02-17:00:00
18.0,14.0,56.0,18.0,2023-03-02-18:00:00
14.0,15.0,60.0,18.0,2023-03-02-19:00:00
9.0,7.0,65.0,10.0,2023-03-02-20:00:00
10.0,11.0,64.0,13.0,2023-03-02-21:00:00
8.0,17.0,67.0,20.0,2023-03-02-22:00:00
5.0,9.0,69.0,13.0,2023-03-02-23:00:00
4.0,13.0,69.0,17.0,2023-03-03-00:00:00
3.0,10.0,68.0,14.0,2023-03-03-01:00:00
3.0,12.0,69.0,17.0,2023-03-03-02:00:00
2.0,8.0,69.0,12.0,2023-03-03-03:00:00
2.0,7.0,67.0,11.0,2023-03-03-04:00:00
3.0,7.0,61.0,11.0,2023-03-03-05:00:00
9.0,10.0,60.0,14.0,2023-03-03-06:00:00
19.0,9.0,48.0,14.0,2023-03-03-07:00:00
20.0,10.0,64.58951965065502,15.0,2023-03-03-08:00:00
19.0,4.0,49.0,10.0,2023-03-03-09:00:00
16.0,3.0,54.0,6.0,2023-03-03-10:00:00
14.0,2.0,58.0,5.0,2023-03-03-11:00:00
13.0,3.0,59.0,7.0,2023-03-03-12:00:00
15.0,4.0,58.0,12.0,2023-03-03-13:00:00
15.0,4.0,57.0,9.0,2023-03-03-14:00:00
15.299382716049383,4.0,58.0,8.0,2023-03-03-15:00:00
16.0,5.0,61.0,9.0,2023-03-03-16:00:00
18.0,10.0,68.0,20.0,2023-03-03-17:00:00
15.0,14.0,73.0,27.0,2023-03-03-18:00:00
13.0,13.0,76.0,26.0,2023-03-03-19:00:00
18.0,12.0,69.0,24.0,2023-03-03-20:00:00
27.0,13.0,57.0,26.0,2023-03-03-21:00:00
25.0,12.0,61.0,20.0,2023-03-03-22:00:00
17.0,17.0,68.0,24.0,2023-03-03-23:00:00
17.0,15.0,67.0,23.0,2023-03-04-00:00:00
29.0,17.0,54.0,25.0,2023-03-04-01:00:00
