no2,pm2.5,o3,pm10,leto_od,mesec_od,dan_od,ura_od,min_od,leto_do,mesec_do,dan_do,ura_do,min_do
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
14.812198683084048,47.0,58.0,52.0,2023.0,2.0,16.0,2.0,0.0,2023.0,2.0,16.0,3.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
15.148149571764831,51.0,59.0,54.0,2023.0,2.0,16.0,3.0,0.0,2023.0,2.0,16.0,4.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.136339745251128,31.0,70.0,34.0,2023.0,2.0,16.0,4.0,0.0,2023.0,2.0,16.0,5.0,0.0
6.182461886157455,29.0,70.0,32.0,2023.0,2.0,16.0,5.0,0.0,2023.0,2.0,16.0,6.0,0.0
